UniqueID	GeneSymbol	Feature_Type	Matched	Name_in_KEGG	KEGG_ID	Similarity	Tie	Selected
Gene_1	AABR07000156.1	Gene	No	NA	NA	NA	NA	NA
Gene_2	Lrp11	Gene	Yes	Lrp11	rno:292462	1.0	No	Yes
Gene_3	Pcmt1	Gene	Yes	Pcmt1	rno:25604	1.0	No	Yes
Gene_4	Nup43	Gene	Yes	Nup43	rno:683983	1.0	No	Yes
Gene_5	Lats1	Gene	Yes	Lats1	rno:308265	1.0	No	Yes
Gene_6	Katna1	Gene	Yes	Katna1	rno:292464	1.0	No	Yes
Gene_7	Ginm1	Gene	Yes	Ginm1	rno:361448	1.0	No	Yes
Gene_8	Ppil4	Gene	Yes	Ppil4	rno:361449	1.0	No	Yes
Gene_9	Tab2	Gene	Yes	Tab2	rno:308267	1.0	No	Yes
Gene_10	Ust	Gene	Yes	Ust	rno:361450	1.0	No	Yes
Gene_11	Sash1	Gene	Yes	Sash1	rno:365037	1.0	No	Yes
Gene_12	Samd5	Gene	Yes	Samd5	rno:365038	1.0	No	Yes
Gene_13	Stxbp5	Gene	Yes	Stxbp5	rno:81022	1.0	No	Yes
Gene_14	Adgb	Gene	Yes	Adgb	rno:292477	1.0	No	Yes
Gene_15	Rab32	Gene	Yes	Rab32	rno:365042	1.0	No	Yes
Gene_16	Grm1	Gene	Yes	Grm1	rno:24414	1.0	No	Yes
Gene_17	Shprh	Gene	Yes	Shprh	rno:308282	1.0	No	Yes
Gene_18	Fbxo30	Gene	Yes	Fbxo30	rno:308283	1.0	No	Yes
Gene_19	Epm2a	Gene	Yes	Epm2a	rno:114005	1.0	No	Yes
Gene_20	Utrn	Gene	Yes	Utrn	rno:25600	1.0	No	Yes
Gene_21	Sf3b5	Gene	Yes	Sf3b5	rno:680891	1.0	No	Yes
Gene_22	Plagl1	Gene	Yes	Plagl1	rno:25157	1.0	No	Yes
Gene_23	Ltv1	Gene	Yes	Ltv1	rno:361452	1.0	No	Yes
Gene_24	Phactr2	Gene	Yes	Phactr2	rno:308291	1.0	No	Yes
Gene_25	Fuca2	Gene	Yes	Fuca2	rno:292485	1.0	No	Yes
Gene_26	Pex3	Gene	Yes	Pex3	rno:83519	1.0	No	Yes
Gene_27	Adat2	Gene	Yes	Adat2	rno:361453	1.0	No	Yes
Gene_28	Aig1	Gene	Yes	Aig1	rno:292486	1.0	No	Yes
Gene_29	Hivep2	Gene	Yes	Hivep2	rno:29721	1.0	No	Yes
Gene_30	Adgrg6	Gene	Yes	Adgrg6	rno:308376	1.0	No	Yes
Gene_31	Vta1	Gene	Yes	Vta1	rno:292640	1.0	No	Yes
Gene_32	AABR07000385.2	Gene	No	NA	NA	NA	NA	NA
Gene_33	Cited2	Gene	Yes	Cited2	rno:114490	1.0	No	Yes
Gene_34	Heca	Gene	Yes	Heca	rno:308624	1.0	No	Yes
Gene_35	Abracl	Gene	Yes	Abracl	rno:685045	1.0	No	Yes
Gene_36	Reps1	Gene	Yes	Reps1	rno:292944	1.0	No	Yes
Gene_37	Ccdc28a	Gene	Yes	Ccdc28a	rno:361454	1.0	No	Yes
Gene_38	Nhsl1	Gene	Yes	Nhsl1	rno:308631	1.0	No	Yes
Gene_39	Hebp2	Gene	Yes	Hebp2	rno:308632	1.0	No	Yes
Gene_40	Arfgef3	Gene	Yes	Arfgef3	rno:292947	1.0	No	Yes
Gene_41	Perp	Gene	Yes	Perp	rno:292949	1.0	No	Yes
Gene_42	Tnfaip3	Gene	Yes	Tnfaip3	rno:683206	1.0	No	Yes
